archivo,d_ij,d_t,ratio
input/medium_1.csv,0.5,1.77027,0.282442
input/medium_1.csv,5,3.54055,1.41221
input/medium_1.csv,0.4,2.34964,0.170239
input/medium_1.csv,6.4,1.27138,5.03391
input/medium_1.csv,1.2,4.61881,0.259807
input/medium_1.csv,0.3,0.772483,0.388358
input/medium_1.csv,0.2,2.73588,0.0731027
input/medium_1.csv,10.2,1.44841,7.04222
input/medium_1.csv,3.3,1.56106,2.11395
input/medium_1.csv,10.4,1.86683,5.57093
input/medium_1.csv,3.1,2.73588,1.13309
input/medium_1.csv,1.2,2.41401,0.497098
input/medium_1.csv,8.2,3.70148,2.21533
input/medium_1.csv,1,2.94509,0.339548
input/medium_1.csv,1.6,0.482802,3.31399
input/medium_1.csv,0.5,0.981697,0.509322
input/medium_1.csv,0.4,2.41401,0.165699
input/medium_1.csv,7.4,1.56106,4.74037
input/medium_1.csv,1.8,3.73367,0.4821
input/medium_1.csv,10.4,3.13821,3.31399
input/medium_1.csv,2.8,1.25529,2.23057
input/medium_1.csv,0.7,1.7059,0.41034
input/medium_1.csv,2,2.83244,0.706105
input/medium_1.csv,1.5,0.643736,2.33015
input/medium_1.csv,4.7,3.29915,1.42461
input/medium_1.csv,5.6,0.85295,6.56545
input/medium_1.csv,2.6,1.77027,1.4687
input/medium_1.csv,3.5,2.25308,1.55343
input/medium_1.csv,2.1,3.70148,0.56734
input/medium_1.csv,3.9,0.160934,24.2335
input/medium_1.csv,1.7,5.89018,0.288616
input/medium_1.csv,4.1,5.6005,0.732077
input/medium_1.csv,1.3,6.42127,0.202452
input/medium_1.csv,2.2,2.09214,1.05155
input/medium_1.csv,6.9,14.9186,0.46251
input/medium_1.csv,0.2,1.20701,0.165699
input/medium_1.csv,10.2,5.79362,1.76056
input/medium_1.csv,4.7,1.30357,3.6055
input/medium_1.csv,4.5,2.73588,1.64481
input/medium_1.csv,1.3,1.67371,0.776716
input/medium_1.csv,2.4,5.69706,0.42127
input/medium_1.csv,5.8,4.50615,1.28713
input/medium_1.csv,3.4,0.772483,4.40139
input/medium_1.csv,1.5,15.0795,0.0994727
input/medium_1.csv,6.2,2.57494,2.40782
input/medium_1.csv,7.6,1.78637,4.25444
input/medium_1.csv,0.2,4.66709,0.0428533
input/medium_1.csv,2.5,1.93121,1.29453
